angle_deg,seed_id,d_init_um,log10N_init,n3_init,d_stage1_um,log10N_stage1,n3_stage1,rmse_stage1,success,nfev,raw_basin_key,representative_basin_id
10.0,1,6.6,15.5,2.35,6.811444791018279,18.600149846107737,2.4567154606810835,0.0024746635254736,True,19,6.811|18.60,4
10.0,2,6.6,15.5,2.75,6.811444814448154,18.600149849203127,2.4567154633741533,0.0024746635254742,True,22,6.811|18.60,4
10.0,3,6.6,15.5,3.1,6.811444623662976,18.600149824208216,2.456715441335196,0.0024746635254731,True,26,6.811|18.60,4
10.0,4,6.6,18.0,2.35,6.811444649897939,18.60014982767838,2.4567154443745025,0.0024746635254727,True,16,6.811|18.60,4
10.0,5,6.6,18.0,2.75,6.500000000000001,18.73642880974233,2.492466482137634,0.0030003754237193,True,18,6.500|18.74,6
10.0,6,6.6,18.0,3.1,6.500000000000001,18.73642880813002,2.492466482133794,0.0030003754237193,True,18,6.500|18.74,6
10.0,7,6.6,20.0,2.35,7.059320891574641,20.03570761023984,2.748903749885264,0.0841239074670021,True,66,7.059|20.04,8
10.0,8,6.6,20.0,2.75,7.059315298801082,20.03570764884075,2.7489030008536424,0.0841239074678042,True,56,7.059|20.04,8
10.0,9,6.6,20.0,3.1,7.059315483029385,20.035707647578143,2.7489030255675897,0.0841239074676251,True,65,7.059|20.04,8
10.0,10,6.8,15.5,2.35,6.811444808403076,18.600149848548696,2.456715462673628,0.0024746635254741,True,20,6.811|18.60,4
10.0,11,6.8,15.5,2.75,6.811444774128753,18.60014984385385,2.4567154587314493,0.0024746635254733,True,23,6.811|18.60,4
10.0,12,6.8,15.5,3.1,7.137397600326098,18.68232624917676,2.506208903461284,0.0011880803566787,True,19,7.137|18.68,1
10.0,13,6.8,18.0,2.35,6.811444775666332,18.600149844111638,2.456715458907758,0.0024746635254733,True,15,6.811|18.60,4
10.0,14,6.8,18.0,2.75,6.811444812088357,18.600149848846964,2.4567154631175514,0.0024746635254742,True,24,6.811|18.60,4
10.0,15,6.8,18.0,3.1,6.811444799403847,18.600149847318683,2.456715461624877,0.0024746635254738,True,24,6.811|18.60,4
10.0,16,6.8,20.0,2.35,7.059320926934266,20.035707609989263,2.7489037545146084,0.0841239074670274,True,92,7.059|20.04,8
10.0,17,6.8,20.0,2.75,7.059320718161005,20.035707611435694,2.7489037265579945,0.0841239074668825,True,92,7.059|20.04,8
10.0,18,6.8,20.0,3.1,7.05932109019766,20.035707608883843,2.74890377632734,0.0841239074671509,True,91,7.059|20.04,8
