angle_deg,seed_id,d_init_um,log10N_init_cm3,N_init_cm3,n3_init,d_final_um,rmse_final,success,boundary_hits,basin_id
10.0,2,7.8,15.5,3162277660168379.5,2.35,7.856635819820148,0.0005982024535836858,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B06
10.0,1,7.0,18.0,1e+18,2.75,7.131793895027166,0.0008333862972842473,True,sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:upper;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower;sellmeier_C3_um2:lower,B03
10.0,3,7.4,15.5,3162277660168379.5,2.35,7.494952048532141,0.0014428534604155271,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B05
10.0,5,8.2,15.5,3162277660168379.5,2.35,8.172872618702883,0.0017791801954574603,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B07
10.0,4,6.6,18.0,1e+18,2.35,6.8133855741532265,0.00201762952047445,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B02
10.0,7,8.4,15.5,3162277660168379.5,2.75,8.499999999999998,0.0023428696138989356,True,thickness_um:upper;log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B08
10.0,6,6.6,18.0,1e+18,2.75,6.500000000000001,0.0025972705925964585,True,thickness_um:lower;log10_carrier_cm3:lower;sellmeier_B1:upper;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B01
10.0,8,6.8,20.0,1e+20,2.75,7.2380897453379545,0.08314060276145067,True,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B04
15.0,2,7.8,18.0,1e+18,3.1,7.6229574152218,0.000706521515615503,True,log10_carrier_cm3:lower;sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:upper;sellmeier_C3_um2:upper,B04
15.0,1,6.8,18.0,1e+18,2.75,6.92177433960858,0.0007859379737645741,True,sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:upper;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower;sellmeier_C3_um2:lower,B02
15.0,4,7.4,18.0,1e+18,2.35,7.270890126220016,0.0017166733106802974,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B03
15.0,3,8.4,15.5,3162277660168379.5,2.35,8.33577091715674,0.0017297615720802638,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B07
15.0,6,8.0,18.0,1e+18,3.1,7.9468565218930864,0.0018662447540854121,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B05
15.0,5,6.6,15.5,3162277660168379.5,2.35,6.595343311835489,0.002097047156743863,True,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower,B01
15.0,7,6.8,20.0,1e+20,2.35,7.272142282156319,0.08659080340972963,True,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B03
15.0,8,7.2,20.0,1e+20,2.75,8.222248479970116,0.08914125918545578,True,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper,B06
