wavenumber_cm1,reflectance_observed,angle_deg,in_fit_band
399.6747,0.0,10.0,0
400.1569,0.3129322924,10.0,0
400.639,0.3060428036,10.0,0
401.1211,0.2999740213,10.0,0
401.6032,0.2941479736,10.0,0
402.0853,0.2894739201,10.0,0
402.5674,0.2856453144,10.0,0
403.0496,0.282573198,10.0,0
403.5317,0.2805093833,10.0,0
404.0138,0.2790966164,10.0,0
404.4959,0.2782480345,10.0,0
404.978,0.27788696009999997,10.0,0
405.4601,0.2774284411,10.0,0
405.9423,0.2768946917,10.0,0
406.4244,0.2764880272,10.0,0
406.9065,0.2757350092,10.0,0
407.3886,0.2746281947,10.0,0
407.8707,0.2732350287,10.0,0
408.3528,0.2716558967,10.0,0
408.835,0.2696203377,10.0,0
409.3171,0.26757465010000003,10.0,0
409.7992,0.2655659144,10.0,0
410.2813,0.2634868225,10.0,0
410.7634,0.2615934145,10.0,0
411.2455,0.25989176940000003,10.0,0
411.7277,0.2587290542,10.0,0
412.2098,0.2575938539,10.0,0
412.6919,0.2566319507,10.0,0
413.174,0.2558149735,10.0,0
413.6561,0.2550335926,10.0,0
414.1382,0.2544107855,10.0,0
414.6204,0.2536119756,10.0,0
415.1025,0.2529448267,10.0,0
415.5846,0.2521075153,10.0,0
416.0667,0.2511148993,10.0,0
416.5488,0.2503173113,10.0,0
417.0309,0.2494140096,10.0,0
417.5131,0.2484870137,10.0,0
417.9952,0.2469277285,10.0,0
418.4773,0.24545795129999998,10.0,0
418.9594,0.2438142989,10.0,0
419.4415,0.2421197493,10.0,0
419.9236,0.2400941826,10.0,0
420.4058,0.23800090170000002,10.0,0
420.8879,0.236189511,10.0,0
421.37,0.23492886980000002,10.0,0
421.8521,0.2334657157,10.0,0
422.3342,0.23224672770000002,10.0,0
422.8163,0.23097344020000002,10.0,0
423.2985,0.2301884255,10.0,0
423.7806,0.22942316859999998,10.0,0
424.2627,0.2284953106,10.0,0
424.7448,0.2278374032,10.0,0
425.2269,0.2267189469,10.0,0
425.709,0.2254578594,10.0,0
426.1912,0.2242440825,10.0,0
426.6733,0.2226251503,10.0,0
427.1554,0.2209267052,10.0,0
427.6375,0.2193917553,10.0,0
428.1196,0.21757711489999998,10.0,0
428.6017,0.2160910213,10.0,0
429.0839,0.2150269677,10.0,0
429.566,0.2140676551,10.0,0
430.0481,0.2135422517,10.0,0
430.5302,0.2131739042,10.0,0
431.0123,0.2134405988,10.0,0
431.4944,0.21381743060000002,10.0,0
431.9766,0.2140786454,10.0,0
432.4587,0.2144584033,10.0,0
432.9408,0.2148172944,10.0,0
433.4229,0.21530468160000002,10.0,0
433.905,0.21526779669999999,10.0,0
434.3871,0.2155708849,10.0,0
434.8693,0.2153982975,10.0,0
435.3514,0.2155679824,10.0,0
435.8335,0.2156905725,10.0,0
436.3156,0.216141601,10.0,0
436.7977,0.216589213,10.0,0
437.2798,0.21686167,10.0,0
437.762,0.21768397239999998,10.0,0
438.2441,0.2183056602,10.0,0
438.7262,0.2189113876,10.0,0
439.2083,0.2191440597,10.0,0
439.6904,0.21962439849999998,10.0,0
440.1725,0.220040586,10.0,0
440.6547,0.22028303789999998,10.0,0
441.1368,0.2203980202,10.0,0
441.6189,0.22060571769999998,10.0,0
442.101,0.2206578232,10.0,0
442.5831,0.2206116882,10.0,0
443.0652,0.2205897062,10.0,0
443.5474,0.220487407,10.0,0
444.0295,0.22021208739999998,10.0,0
444.5116,0.2200560852,10.0,0
444.9937,0.2198129789,10.0,0
445.4758,0.21946346309999998,10.0,0
445.9579,0.21914311560000002,10.0,0
446.4401,0.2188792464,10.0,0
446.9222,0.219241542,10.0,0
447.4043,0.21924513050000002,10.0,0
