angle_deg,bin_left_cm1,bin_right_cm1,bin_center_cm1,residual_mean,sample_count
10.0,2500.0,2520.0,2510.0,0.0015098310517207025,41
10.0,2520.0,2540.0,2530.0,0.0011811396052409072,42
10.0,2540.0,2560.0,2550.0,0.0005442609819149196,41
10.0,2560.0,2580.0,2570.0,-7.000669994804177e-05,42
10.0,2580.0,2600.0,2590.0,-0.0005796790676069707,41
10.0,2600.0,2620.0,2610.0,-0.0008476194504346645,42
10.0,2620.0,2640.0,2630.0,-0.0008211769574740634,41
10.0,2640.0,2660.0,2650.0,-0.0006827779869374143,42
10.0,2660.0,2680.0,2670.0,-0.0004197597102460924,41
10.0,2680.0,2700.0,2690.0,-0.0002329535561509649,42
10.0,2700.0,2720.0,2710.0,7.623300505118732e-06,41
10.0,2720.0,2740.0,2730.0,0.00012071392354855227,42
10.0,2740.0,2760.0,2750.0,-1.709173185455641e-05,41
10.0,2760.0,2780.0,2770.0,1.1360202334681514e-05,42
10.0,2780.0,2800.0,2790.0,-0.00012722884494046735,41
10.0,2800.0,2820.0,2810.0,-0.00017039207592880776,42
10.0,2820.0,2840.0,2830.0,-2.773233844637836e-05,41
10.0,2840.0,2860.0,2850.0,0.00015466911352492318,42
10.0,2860.0,2880.0,2870.0,0.00040141103571770485,41
10.0,2880.0,2900.0,2890.0,0.00042741923566160477,42
10.0,2900.0,2920.0,2910.0,0.0004521601962822659,41
10.0,2920.0,2940.0,2930.0,0.00032698675075901683,42
10.0,2940.0,2960.0,2950.0,0.00010009856328314126,41
10.0,2960.0,2980.0,2970.0,-0.00041525211551529694,42
10.0,2980.0,3000.0,2990.0,-0.0006230875335139294,41
10.0,3000.0,3020.0,3010.0,-0.0007303311381178072,42
10.0,3020.0,3040.0,3030.0,-0.0006630688080693926,41
10.0,3040.0,3060.0,3050.0,-0.0003299559614048729,42
10.0,3060.0,3080.0,3070.0,6.943450763753524e-05,41
10.0,3080.0,3100.0,3090.0,0.00044080634059841955,41
10.0,3100.0,3120.0,3110.0,0.0008379512288742857,42
10.0,3120.0,3140.0,3130.0,0.000933060851724771,41
10.0,3140.0,3160.0,3150.0,0.0008573033101456928,42
10.0,3160.0,3180.0,3170.0,0.0005843507530828592,41
10.0,3180.0,3200.0,3190.0,0.00031932567720016267,42
10.0,3200.0,3220.0,3210.0,-0.00020051476854762685,41
10.0,3220.0,3240.0,3230.0,-0.0005042330295518095,42
10.0,3240.0,3260.0,3250.0,-0.0008715855745325512,41
10.0,3260.0,3280.0,3270.0,-0.000731946313752688,42
10.0,3280.0,3300.0,3290.0,-0.0003260919596568863,41
15.0,2500.0,2520.0,2510.0,0.00028606449349508,41
15.0,2520.0,2540.0,2530.0,0.0005382727737458953,42
15.0,2540.0,2560.0,2550.0,0.0006651449819153463,41
15.0,2560.0,2580.0,2570.0,0.00028701062072333545,42
15.0,2580.0,2600.0,2590.0,-0.00030893203420798263,41
15.0,2600.0,2620.0,2610.0,-0.0007676104401085308,42
15.0,2620.0,2640.0,2630.0,-0.0010599839935822172,41
15.0,2640.0,2660.0,2650.0,-0.001121611441345707,42
15.0,2660.0,2680.0,2670.0,-0.001046297382059939,41
15.0,2680.0,2700.0,2690.0,-0.0010675507233349785,42
15.0,2700.0,2720.0,2710.0,-0.0008106972564505513,41
15.0,2720.0,2740.0,2730.0,-0.0005224824849672791,42
15.0,2740.0,2760.0,2750.0,-0.00037402289058532945,41
15.0,2760.0,2780.0,2770.0,-0.0003476658300173167,42
15.0,2780.0,2800.0,2790.0,-0.0004537302843495,41
15.0,2800.0,2820.0,2810.0,-0.00042495175461563584,42
15.0,2820.0,2840.0,2830.0,-0.000256623911802864,41
15.0,2840.0,2860.0,2850.0,-0.000286188940653569,42
15.0,2860.0,2880.0,2870.0,-0.00016347543835874736,41
15.0,2880.0,2900.0,2890.0,-1.6209809298694195e-05,42
15.0,2900.0,2920.0,2910.0,0.000215228754322003,41
15.0,2920.0,2940.0,2930.0,0.000170693918256267,42
15.0,2940.0,2960.0,2950.0,1.7099984932200946e-05,41
15.0,2960.0,2980.0,2970.0,-0.0002013900877282882,42
15.0,2980.0,3000.0,2990.0,-0.0002793670742679583,41
15.0,3000.0,3020.0,3010.0,-0.0004656339606603285,42
15.0,3020.0,3040.0,3030.0,-0.00043386539080280973,41
15.0,3040.0,3060.0,3050.0,-0.0004815203011153238,42
15.0,3060.0,3080.0,3070.0,-9.153489063737694e-05,41
15.0,3080.0,3100.0,3090.0,0.00028601581112439273,41
15.0,3100.0,3120.0,3110.0,0.0006724886878342001,42
15.0,3120.0,3140.0,3130.0,0.0011376621205434,41
15.0,3140.0,3160.0,3150.0,0.0014308698192048025,42
15.0,3160.0,3180.0,3170.0,0.0016105109988576731,41
15.0,3180.0,3200.0,3190.0,0.0014414134790898454,42
15.0,3200.0,3220.0,3210.0,0.0010758826503984,41
15.0,3220.0,3240.0,3230.0,0.0006565691775413714,42
15.0,3240.0,3260.0,3250.0,0.00037978363353120777,41
15.0,3260.0,3280.0,3270.0,8.106412618269679e-05,42
15.0,3280.0,3300.0,3290.0,1.9574107538512894e-05,41
