angle_deg,seed_id,d_init_um,log10N_init,n3_init,d_stage1_um,log10N_stage1,n3_stage1,rmse_stage1,success,nfev,raw_basin_key,representative_basin_id
10.0,1,6.6,15.5,2.35,6.811444791018279,18.600149846107737,2.4567154606810835,0.0024746635254736774,True,19,6.811|18.60,4
10.0,2,6.6,15.5,2.75,6.811444814448154,18.600149849203127,2.4567154633741533,0.0024746635254742876,True,22,6.811|18.60,4
10.0,3,6.6,15.5,3.1,6.811444623662976,18.600149824208216,2.456715441335196,0.002474663525473138,True,26,6.811|18.60,4
10.0,4,6.6,18.0,2.35,6.811444649897939,18.60014982767838,2.4567154443745025,0.0024746635254727757,True,16,6.811|18.60,4
10.0,5,6.6,18.0,2.75,6.500000000000001,18.73642880974233,2.492466482137634,0.003000375423719323,True,18,6.500|18.74,6
10.0,6,6.6,18.0,3.1,6.500000000000001,18.73642880813002,2.492466482133794,0.003000375423719337,True,18,6.500|18.74,6
10.0,7,6.6,20.0,2.35,7.059320891574641,20.03570761023984,2.748903749885264,0.08412390746700216,True,66,7.059|20.04,8
10.0,8,6.6,20.0,2.75,7.059315298801082,20.03570764884075,2.7489030008536424,0.08412390746780422,True,56,7.059|20.04,8
10.0,9,6.6,20.0,3.1,7.059315483029385,20.035707647578143,2.7489030255675897,0.08412390746762516,True,65,7.059|20.04,8
10.0,10,6.8,15.5,2.35,6.811444808403076,18.600149848548696,2.456715462673628,0.0024746635254741145,True,20,6.811|18.60,4
10.0,11,6.8,15.5,2.75,6.811444774128753,18.60014984385385,2.4567154587314493,0.0024746635254733187,True,23,6.811|18.60,4
10.0,12,6.8,15.5,3.1,7.137397600326098,18.682326249176757,2.506208903461284,0.0011880803566787846,True,19,7.137|18.68,1
10.0,13,6.8,18.0,2.35,6.811444775666332,18.600149844111634,2.456715458907758,0.002474663525473349,True,15,6.811|18.60,4
10.0,14,6.8,18.0,2.75,6.811444812088357,18.600149848846964,2.4567154631175514,0.002474663525474218,True,24,6.811|18.60,4
10.0,15,6.8,18.0,3.1,6.811444799403847,18.600149847318683,2.456715461624877,0.0024746635254738803,True,24,6.811|18.60,4
10.0,16,6.8,20.0,2.35,7.059320926934266,20.035707609989263,2.7489037545146084,0.08412390746702743,True,92,7.059|20.04,8
10.0,17,6.8,20.0,2.75,7.059320718161005,20.035707611435694,2.7489037265579945,0.08412390746688256,True,92,7.059|20.04,8
10.0,18,6.8,20.0,3.1,7.05932109019766,20.035707608883843,2.7489037763273396,0.08412390746715098,True,91,7.059|20.04,8
10.0,19,7.0,15.5,2.35,7.137397598233778,18.682326249496548,2.506208903163652,0.0011880803566787842,True,13,7.137|18.68,1
10.0,20,7.0,15.5,2.75,7.137397590721433,18.682326250706062,2.5062089020971663,0.0011880803566788082,True,15,7.137|18.68,1
10.0,21,7.0,15.5,3.1,7.137397600384577,18.682326249226893,2.5062089034678814,0.001188080356678787,True,16,7.137|18.68,1
10.0,22,7.0,18.0,2.35,7.137397596912358,18.68232624975607,2.5062089029725256,0.001188080356678785,True,11,7.137|18.68,1
10.0,23,7.0,18.0,2.75,7.137397599593255,18.68232624939885,2.5062089033468293,0.0011880803566787818,True,13,7.137|18.68,1
10.0,24,7.0,18.0,3.1,7.137397600048554,18.682326249196812,2.5062089034284227,0.0011880803566787844,True,14,7.137|18.68,1
10.0,25,7.0,20.0,2.35,7.059320830236473,20.035707610670336,2.7489037415454756,0.08412390746695907,True,105,7.059|20.04,8
10.0,26,7.0,20.0,2.75,7.0593208543490125,20.03570761050261,2.7489037447664826,0.08412390746697594,True,105,7.059|20.04,8
10.0,27,7.0,20.0,3.1,7.0593209001436685,20.035707610176594,2.748903750944907,0.08412390746700817,True,105,7.059|20.04,8
10.0,28,7.2,15.5,2.35,7.1373975902334745,18.682326250985337,2.5062089019886638,0.0011880803566788121,True,10,7.137|18.68,1
10.0,29,7.2,15.5,2.75,7.137397603744529,18.682326248650106,2.5062089039538016,0.0011880803566787976,True,10,7.137|18.68,1
10.0,30,7.2,15.5,3.1,7.137397605305211,18.682326248248412,2.506208904200456,0.0011880803566788041,True,15,7.137|18.68,1
10.0,31,7.2,18.0,2.35,7.137397594135613,18.682326250356535,2.506208902553588,0.0011880803566787937,True,11,7.137|18.68,1
10.0,32,7.2,18.0,2.75,7.137397594875522,18.68232625013669,2.506208902677108,0.0011880803566787896,True,12,7.137|18.68,1
10.0,33,7.2,18.0,3.1,7.137397599106451,18.6823262493503,2.506208903295392,0.001188080356678784,True,13,7.137|18.68,1
10.0,34,7.2,20.0,2.35,7.778864445494697,20.019029225907474,2.7844092172852557,0.08695807777820451,True,163,7.779|20.02,2
10.0,35,7.2,20.0,2.75,7.979874611114647,20.045128113406317,2.687184382376322,0.08673849421049609,True,109,7.980|20.05,2
10.0,36,7.2,20.0,3.1,7.9798744780117365,20.045128113918786,2.687184372151658,0.08673849421040095,True,103,7.980|20.05,2
10.0,37,7.4,15.5,2.35,7.4713084980377635,18.60266734963612,2.4531341317004776,0.002232922589556192,True,17,7.471|18.60,3
10.0,38,7.4,15.5,2.75,7.471308486927759,18.602667348826785,2.4531341327244247,0.002232922589556234,True,20,7.471|18.60,3
10.0,39,7.4,15.5,3.1,7.471308448512899,18.602667346092293,2.4531341362405104,0.0022329225895567164,True,19,7.471|18.60,3
10.0,40,7.4,18.0,2.35,7.471308496301652,18.60266734926234,2.453134131877195,0.0022329225895561977,True,13,7.471|18.60,3
10.0,41,7.4,18.0,2.75,7.4713084946269825,18.60266734960357,2.45313413199946,0.0022329225895562042,True,17,7.471|18.60,3
10.0,42,7.4,18.0,3.1,7.4713084828156475,18.602667348157265,2.4531341331161136,0.0022329225895562593,True,17,7.471|18.60,3
10.0,43,7.4,20.0,2.35,7.778864481869966,20.01902922298146,2.7844092381805905,0.08695807777800761,True,127,7.779|20.02,2
10.0,44,7.4,20.0,2.75,7.778864436438642,20.019029226674405,2.78440921224122,0.08695807777825622,True,128,7.779|20.02,2
