angle_deg,seed_id,d_init_um,n3_init,log10N_init_cm3,log10Gamma_init_s1,d_final_um,rmse_final_percentage_point,success,boundary_hits,basin_id,basin_count
10.0,5,3.4,3.0,18.0,14.5,3.247997416983022,1.8738296801541654,True,log10_collision_s-1,B03,3
10.0,4,3.2,3.5,16.0,14.0,3.2479974097764304,1.8738296801546959,True,log10_collision_s-1,B03,3
10.0,3,3.05,4.0,18.0,13.0,3.247997404168842,1.8738296801551675,True,log10_collision_s-1,B03,3
10.0,2,2.9,3.5,16.0,13.698970004336019,3.2242631934139876,1.8997958614626727,True,log10_carrier_cm3;log10_collision_s-1,B02,2
10.0,6,3.6,4.5,20.0,15.0,3.224263191266491,1.8997958614626758,True,log10_carrier_cm3;log10_collision_s-1,B02,2
10.0,1,2.7,3.0,14.0,12.0,2.5148230035513235,3.288868773774371,True,log10_carrier_cm3;log10_collision_s-1,B01,1
15.0,5,3.4,3.0,18.0,14.5,3.187519666476554,3.3553823523633466,True,log10_carrier_cm3;log10_collision_s-1,B01,5
15.0,1,2.7,3.0,14.0,12.0,3.1875196349686137,3.3553823523638253,True,log10_carrier_cm3;log10_collision_s-1,B01,5
15.0,2,2.9,3.5,16.0,13.698970004336019,3.187519848993502,3.355382352363957,True,log10_carrier_cm3;log10_collision_s-1,B01,5
15.0,4,3.2,3.5,16.0,14.0,3.1875196908665386,3.355382389985409,True,log10_carrier_cm3;log10_collision_s-1,B01,5
15.0,3,3.05,4.0,18.0,13.0,3.1875198075401268,3.3553823899854214,True,log10_carrier_cm3;log10_collision_s-1,B01,5
15.0,6,3.6,4.5,20.0,15.0,3.353875718941529,5.066709886477229,True,substrate_index;log10_carrier_cm3;log10_collision_s-1,B02,1
