wavenumber_cm1,eta3_10deg_percent,eta3_15deg_percent,engineering_threshold_percent
2500.257,4.850598863972145e-07,4.660344394195662e-07,0.1
2500.739,4.838019292732214e-07,4.648524399130629e-07,0.1
2501.221,4.825472484326097e-07,4.636734558435372e-07,0.1
2501.703,4.812958351414059e-07,4.6249747931841306e-07,0.1
2502.186,4.800450945393781e-07,4.613220720175084e-07,0.1
2502.668,4.788001969759555e-07,4.601520931886549e-07,0.1
2503.15,4.775585408869838e-07,4.589850983392113e-07,0.1
2503.632,4.763201176348599e-07,4.5782107966242773e-07,0.1
2504.114,4.750849186059316e-07,4.566600293726981e-07,0.1
2504.596,4.7385293521027924e-07,4.555019397057137e-07,0.1
2505.078,4.726241588818404e-07,4.543468029182414e-07,0.1
2505.56,4.713985810782086e-07,4.531946112881528e-07,0.1
2506.042,4.70176193280539e-07,4.520453571143607e-07,0.1
2506.525,4.689544608213132e-07,4.508966574905259e-07,0.1
2507.007,4.677384341476906e-07,4.497532612643381e-07,0.1
2507.489,4.665255720472748e-07,4.486127795008162e-07,0.1
2507.971,4.653158660951184e-07,4.474752045824166e-07,0.1
2508.453,4.641093078895773e-07,4.463405289122429e-07,0.1
2508.935,4.6290588905222813e-07,4.452087449141516e-07,0.1
2509.417,4.617056012277782e-07,4.440798450325538e-07,0.1
2509.899,4.605084360840416e-07,4.429538217323867e-07,0.1
2510.382,4.5931191125970586e-07,4.41828340280784e-07,0.1
2510.864,4.581209730083768e-07,4.407080535493869e-07,0.1
2511.346,4.5693313256188003e-07,4.395906209014791e-07,0.1
2511.828,4.557483816797233e-07,4.384760348837378e-07,0.1
2512.31,4.545667121441455e-07,4.3736428806294565e-07,0.1
2512.792,4.5338811576014113e-07,4.3625537302621e-07,0.1
2513.274,4.522125843552168e-07,4.3514928238067457e-07,0.1
2513.756,4.510401097795309e-07,4.3404600875362493e-07,0.1
2514.239,4.498682608744182e-07,4.329432645876672e-07,0.1
2514.721,4.487018818973292e-07,4.318456087658368e-07,0.1
2515.203,4.475385354177522e-07,4.30750747949033e-07,0.1
2515.685,4.463782133753777e-07,4.296586748443483e-07,0.1
2516.167,4.45220907732191e-07,4.2856938217864985e-07,0.1
2516.649,4.440666104723025e-07,4.274828626985263e-07,0.1
2517.131,4.429153136019319e-07,4.263991091702769e-07,0.1
2517.613,4.417670091493512e-07,4.253181143798002e-07,0.1
2518.095,4.406216891647594e-07,4.242398711325428e-07,0.1
2518.578,4.3947697880181093e-07,4.2316214377587305e-07,0.1
2519.06,4.383376101423124e-07,4.2208938778102673e-07,0.1
2519.542,4.3720120221636005e-07,4.21019361847958e-07,0.1
2520.024,4.360677471615335e-07,4.199520588599249e-07,0.1
2520.506,4.349372371369841e-07,4.188874717194555e-07,0.1
2520.988,4.338096643235349e-07,4.178255933483629e-07,0.1
2521.47,4.326850209235018e-07,4.167664166875899e-07,0.1
2521.952,4.3156329916065794e-07,4.157099346972578e-07,0.1
2522.435,4.304421731256586e-07,4.146539568501745e-07,0.1
2522.917,4.29326277415506e-07,4.136028487114925e-07,0.1
2523.399,4.282132801261448e-07,4.125544142233114e-07,0.1
2523.881,4.271031735667213e-07,4.1150864642172746e-07,0.1
2524.363,4.259959500674693e-07,4.104655383617782e-07,0.1
2524.845,4.248916019797663e-07,4.094250831171847e-07,0.1
2525.327,4.237901216760089e-07,4.083872737804873e-07,0.1
2525.809,4.2269150154961133e-07,4.073521034629537e-07,0.1
2526.292,4.21593463598247e-07,4.063174258303984e-07,0.1
2526.773,4.205028115069877e-07,4.052896524233908e-07,0.1
2527.256,4.194104678390391e-07,4.04260229417812e-07,0.1
2527.738,4.1832321863696563e-07,4.032355520726032e-07,0.1
2528.22,4.172387918762417e-07,4.0221347956723305e-07,0.1
2528.702,4.161571800749576e-07,4.011940051241041e-07,0.1
2529.184,4.150783757717277e-07,4.001771219838726e-07,0.1
2529.666,4.14002371525662e-07,3.991628234055243e-07,0.1
2530.148,4.129291599163239e-07,3.98151102666233e-07,0.1
2530.63,4.118587335436773e-07,3.971419530613962e-07,0.1
2531.113,4.1078887287206253e-07,3.961332822146318e-07,0.1
2531.595,4.097240005941402e-07,3.951292601368538e-07,0.1
2532.077,4.086618914593015e-07,3.941277891743782e-07,0.1
2532.559,4.076025381484603e-07,3.9312886269481094e-07,0.1
2533.041,4.065459333626484e-07,3.921324740836106e-07,0.1
2533.523,4.054920698229493e-07,3.911386167441579e-07,0.1
2534.005,4.0444094027043153e-07,3.90147284097704e-07,0.1
2534.487,4.033925374660533e-07,3.891584695831701e-07,0.1
2534.969,4.023468541906468e-07,3.881721666572187e-07,0.1
2535.452,4.013017222192146e-07,3.8718633031929017e-07,0.1
2535.934,4.002614620283419e-07,3.86205036188162e-07,0.1
2536.416,3.99223899812761e-07,3.8522623410803483e-07,0.1
2536.898,3.981890284321882e-07,3.842499176059403e-07,0.1
2537.38,3.971568407660036e-07,3.8327608022643673e-07,0.1
2537.862,3.961273297130645e-07,3.823047155315052e-07,0.1
2538.344,3.9510048819171596e-07,3.813358171004841e-07,0.1
2538.826,3.940763091396781e-07,3.803693785300036e-07,0.1
2539.309,3.930526689258905e-07,3.794033960108617e-07,0.1
2539.791,3.920337991904492e-07,3.7844186309084346e-07,0.1
2540.273,3.910175708389616e-07,3.774827709115372e-07,0.1
2540.755,3.900039768863576e-07,3.7652611313849627e-07,0.1
2541.237,3.889930103665967e-07,3.755718834542219e-07,0.1
2541.719,3.8798466433280643e-07,3.746200755582938e-07,0.1
2542.201,3.869789318570922e-07,3.736706831672647e-07,0.1
2542.683,3.859758060305239e-07,3.727237000146415e-07,0.1
2543.166,3.849732068806143e-07,3.717771626344484e-07,0.1
2543.648,3.839752790735872e-07,3.7083498419258185e-07,0.1
2544.13,3.8297993728810236e-07,3.698951962777935e-07,0.1
2544.612,3.819871746906283e-07,3.689577926908347e-07,0.1
2545.094,3.809969844663213e-07,3.680227672491921e-07,0.1
2545.576,3.800093598190152e-07,3.670901137869192e-07,0.1
2546.058,3.790242939711033e-07,3.661598261547481e-07,0.1
2546.54,3.7804178016356425e-07,3.652318982199427e-07,0.1
2547.022,3.770618116558487e-07,3.643063238662589e-07,0.1
2547.505,3.7608235649706645e-07,3.633811840214296e-07,0.1
2547.987,3.751074636868492e-07,3.624603033984058e-07,0.1
2548.469,3.74135096051357e-07,3.615417580937904e-07,0.1
2548.951,3.731652469234066e-07,3.606255420569056e-07,0.1
2549.433,3.721979096541915e-07,3.597116492534062e-07,0.1
2549.915,3.71233077613e-07,3.588000736651339e-07,0.1
2550.397,3.702707441872616e-07,3.5789080929011054e-07,0.1
2550.879,3.693109027824381e-07,3.569838501425083e-07,0.1
2551.362,3.683515631854332e-07,3.56077315750827e-07,0.1
2551.844,3.6739669124707145e-07,3.551749539166523e-07,0.1
2552.326,3.664442916405007e-07,3.542748794364785e-07,0.1
2552.808,3.6549435784293146e-07,3.533770863886417e-07,0.1
2553.29,3.645468833495174e-07,3.524815688672865e-07,0.1
2553.772,3.636018616731081e-07,3.515883209825461e-07,0.1
2554.254,3.6265928634429083e-07,3.506973368602622e-07,0.1
2554.736,3.6171915091125697e-07,3.4980861064213946e-07,0.1
2555.219,3.607795060252696e-07,3.489202996645361e-07,0.1
2555.7,3.598461740136071e-07,3.4803790856365e-07,0.1
2556.183,3.589113868627988e-07,3.4715409354040306e-07,0.1
2556.665,3.579809518490337e-07,3.462743452997152e-07,0.1
2557.147,3.5705292472221253e-07,3.4539682589463946e-07,0.1
2557.629,3.561272991355087e-07,3.445215295605997e-07,0.1
2558.111,3.5520406875941093e-07,3.43648450548541e-07,0.1
2558.593,3.542832272816603e-07,3.427775831247488e-07,0.1
2559.075,3.533647684072205e-07,3.419089215709531e-07,0.1
2559.557,3.52448685858204e-07,3.410424601841763e-07,0.1
2560.04,3.515330801641446e-07,3.4017640246910605e-07,0.1
2560.522,3.506217363985016e-07,3.393143289038547e-07,0.1
2561.004,3.4971275021422855e-07,3.384544384766608e-07,0.1
2561.486,3.48806115401681e-07,3.375967255454929e-07,0.1
2561.968,3.479018257680746e-07,3.3674118448348857e-07,0.1
2562.45,3.469998751375229e-07,3.358878096788513e-07,0.1
2562.932,3.461002573509792e-07,3.35036595534789e-07,0.1
2563.414,3.4520296626615306e-07,3.3418753646957946e-07,0.1
2563.896,3.443079957574413e-07,3.333406269164137e-07,0.1
2564.379,3.434134901341882e-07,3.324941109224515e-07,0.1
2564.861,3.425231472506169e-07,3.3165148818335085e-07,0.1
2565.343,3.416351066538098e-07,3.308109983337097e-07,0.1
2565.825,3.407493622846851e-07,3.299726358661684e-07,0.1
2566.307,3.398659081006123e-07,3.291363952881058e-07,0.1
2566.789,3.389847380754796e-07,3.283022711215682e-07,0.1
2567.271,3.381058461994897e-07,3.2747025790330255e-07,0.1
2567.753,3.3722922647926644e-07,3.266403501846662e-07,0.1
2568.236,3.36353061277723e-07,3.258108272676071e-07,0.1
2568.718,3.354809726370007e-07,3.2498511860071775e-07,0.1
2569.2,3.346111382571287e-07,3.241614991636635e-07,0.1
2569.682,3.337435522096661e-07,3.233399635658836e-07,0.1
2570.164,3.328782085822952e-07,3.225205064313257e-07,0.1
2570.646,3.320151014787899e-07,3.217031223981745e-07,0.1
2571.128,3.311542250189416e-07,3.208878061190989e-07,0.1
2571.61,3.302955733384673e-07,3.200745522609493e-07,0.1
2572.093,3.2943736606023785e-07,3.1926167465875695e-07,0.1
2572.575,3.285831509950329e-07,3.18452533951524e-07,0.1
2573.057,3.277311431999552e-07,3.176454397403572e-07,0.1
2573.539,3.268813368742692e-07,3.16840386748964e-07,0.1
2574.021,3.26033726233005e-07,3.160373697151721e-07,0.1
2574.503,3.251883055068916e-07,3.152363833908447e-07,0.1
2574.985,3.243450689423908e-07,3.1443742254186574e-07,0.1
2575.467,3.235040108014969e-07,3.136404819481512e-07,0.1
2575.949,3.2266512536186535e-07,3.1284555640349333e-07,0.1
2576.432,3.218266732348736e-07,3.120509977479546e-07,0.1
2576.914,3.209921205708039e-07,3.112600908921181e-07,0.1
2577.396,3.201597235220896e-07,3.104711835393505e-07,0.1
2577.878,3.1932947642829866e-07,3.096842705388706e-07,0.1
2578.36,3.185013736442658e-07,3.088993467536216e-07,0.1
2578.842,3.1767540954023025e-07,3.081164070603177e-07,0.1
2579.324,3.168515785016622e-07,3.073354463492649e-07,0.1
2579.806,3.160298749292441e-07,3.065564595244783e-07,0.1
2580.289,3.152085950637287e-07,3.057778314759734e-07,0.1
2580.771,3.143911340713604e-07,3.050027812588441e-07,0.1
2581.253,3.1357578382666136e-07,3.042296897108346e-07,0.1
2581.735,3.127625387908765e-07,3.034585517901377e-07,0.1
2582.217,3.119513934402814e-07,3.026893624683076e-07,0.1
2582.699,3.111423422660292e-07,3.019221167303877e-07,0.1
2583.181,3.1033537977426173e-07,3.011568095747309e-07,0.1
2583.663,3.0953050048601025e-07,3.0039343601305005e-07,0.1
2584.146,3.087260355297828e-07,2.99630413310386e-07,0.1
2584.627,3.07926969678355e-07,2.9887246978485817e-07,0.1
2585.11,3.0712665244381414e-07,2.981132974095548e-07,0.1
2585.592,3.063300557473682e-07,2.973576125715153e-07,0.1
2586.074,3.0553551507017864e-07,2.966038365744253e-07,0.1
2586.556,3.047430250217694e-07,2.95851964509253e-07,0.1
2587.038,3.03952580226244e-07,2.951019914799999e-07,0.1
2587.52,3.0316417532220056e-07,2.9435391260369625e-07,0.1
2588.002,3.023778049628453e-07,2.9360772301042146e-07,0.1
2588.484,3.015934638157896e-07,2.9286341784318535e-07,0.1
2588.967,3.008095255984092e-07,2.921194539063242e-07,0.1
2589.449,3.000292311189937e-07,2.9137890695636495e-07,0.1
2589.931,2.992509499302292e-07,2.9064022992891816e-07,0.1
2590.413,2.984746767572596e-07,2.8990341801849685e-07,0.1
2590.895,2.977004063395268e-07,2.891684664324429e-07,0.1
2591.377,2.969281334306183e-07,2.884353703908127e-07,0.1
2591.859,2.961578527983961e-07,2.8770412512639584e-07,0.1
2592.341,2.953895592248119e-07,2.869747258846366e-07,0.1
2592.823,2.946232475059675e-07,2.862471679236497e-07,0.1
2593.306,2.938573287457526e-07,2.855199427738576e-07,0.1
2593.788,2.930949692656934e-07,2.847960569946775e-07,0.1
2594.27,2.923345761021602e-07,2.840739983363154e-07,0.1
2594.752,2.9157614410728335e-07,2.833537621071167e-07,0.1
2595.234,2.908196681471563e-07,2.826353436278976e-07,0.1
2595.716,2.900651431016622e-07,2.819187382318812e-07,0.1
2596.198,2.893125638645931e-07,2.812039412647402e-07,0.1
2596.68,2.885619253434863e-07,2.804909480844894e-07,0.1
2597.163,2.878116711427361e-07,2.797782804221612e-07,0.1
2597.645,2.870649028312589e-07,2.7906888465728e-07,0.1
2598.127,2.863200600302879e-07,2.783612788175604e-07,0.1
2598.609,2.855771377022165e-07,2.776554583101852e-07,0.1
2599.091,2.848361308229787e-07,2.7695141855449615e-07,0.1
2599.573,2.8409703438210085e-07,2.762491549819644e-07,0.1
2600.055,2.833598433826288e-07,2.755486630362349e-07,0.1
2600.537,2.826245528411089e-07,2.74849938173006e-07,0.1
2601.02,2.818896381879292e-07,2.7415153170918924e-07,0.1
2601.502,2.811581375827473e-07,2.734563310689969e-07,0.1
2601.984,2.804285225554012e-07,2.727628839413303e-07,0.1
2602.466,2.7970078817599375e-07,2.7207118582996024e-07,0.1
2602.948,2.789749295279445e-07,2.713812322505879e-07,0.1
2603.43,2.7825094170792745e-07,2.706930187307889e-07,0.1
2603.912,2.775288198258599e-07,2.7000654081001466e-07,0.1
2604.394,2.7680855900477585e-07,2.693217940395407e-07,0.1
2604.876,2.7609015438093545e-07,2.686387739824253e-07,0.1
2605.359,2.753721163997272e-07,2.679560645199168e-07,0.1
2605.841,2.746574134573604e-07,2.6727648818521044e-07,0.1
2606.323,2.739445521894403e-07,2.665986253143787e-07,0.1
2606.805,2.732335277844148e-07,2.659224715173532e-07,0.1
2607.287,2.725243354437455e-07,2.652480224156889e-07,0.1
2607.769,2.718169703817883e-07,2.6457527364257053e-07,0.1
2608.251,2.71111427825802e-07,2.6390422084271735e-07,0.1
2608.733,2.7040770301590064e-07,2.6323485967239244e-07,0.1
2609.216,2.697043368377544e-07,2.625658023348074e-07,0.1
2609.698,2.690042370382531e-07,2.6189981492549773e-07,0.1
2610.18,2.683059407721297e-07,2.6123550617446854e-07,0.1
2610.662,2.676094433306039e-07,2.6057287178381946e-07,0.1
2611.144,2.669147400175295e-07,2.59911907467035e-07,0.1
2611.626,2.662218261494225e-07,2.592526089489636e-07,0.1
2612.108,2.6553069705538e-07,2.585949719657289e-07,0.1
2612.59,2.648413480771017e-07,2.579389922647273e-07,0.1
2613.073,2.6415234991010804e-07,2.572833097958771e-07,0.1
2613.554,2.634679718971472e-07,2.56631987755414e-07,0.1
2614.037,2.6278251811135773e-07,2.559796055132574e-07,0.1
2614.519,2.621002469130424e-07,2.5533021603893624e-07,0.1
2615.001,2.6141973271665737e-07,2.546824627433746e-07,0.1
2615.483,2.6074097093857017e-07,2.5403634144108746e-07,0.1
2615.965,2.6006395700749505e-07,2.533918479575934e-07,0.1
2616.447,2.593886863644128e-07,2.527489781294677e-07,0.1
2616.929,2.587151544626074e-07,2.5210772780430624e-07,0.1
2617.411,2.580433567675007e-07,2.514680928406585e-07,0.1
2617.894,2.573719003690593e-07,2.5082874707931414e-07,0.1
2618.376,2.5670356110703613e-07,2.501923337880593e-07,0.1
2618.858,2.5603694251179857e-07,2.495575234909716e-07,0.1
2619.34,2.553720400973719e-07,2.4892431209024893e-07,0.1
2619.822,2.5470884938984124e-07,2.482926954988653e-07,0.1
2620.304,2.5404736592732897e-07,2.476626696405901e-07,0.1
2620.786,2.533875852599025e-07,2.470342304499832e-07,0.1
2621.268,2.527295029495716e-07,2.464073738723139e-07,0.1
2621.75,2.520731145703247e-07,2.4578209586356226e-07,0.1
2622.233,2.514170591647491e-07,2.4515710003371426e-07,0.1
2622.715,2.507640489084686e-07,2.445349703275506e-07,0.1
2623.197,2.501127193671758e-07,2.439144071138511e-07,0.1
2623.679,2.4946306616214775e-07,2.432954063911422e-07,0.1
2624.161,2.488150849264652e-07,2.4267796416851644e-07,0.1
2624.643,2.4816877130485697e-07,2.420620764655356e-07,0.1
2625.125,2.475241209538014e-07,2.414477393123554e-07,0.1
2625.607,2.468811295414251e-07,2.408349487495145e-07,0.1
2626.09,2.46238463890132e-07,2.402224342796576e-07,0.1
2626.572,2.455987808252452e-07,2.3961272824921685e-07,0.1
2627.054,2.449607437640128e-07,2.390045569852321e-07,0.1
2627.536,2.44324348420842e-07,2.3839791656989362e-07,0.1
2628.018,2.43689590521644e-07,2.3779280309570415e-07,0.1
2628.5,2.430564658037924e-07,2.3718921266548657e-07,0.1
2628.982,2.424249700160562e-07,2.365871413923249e-07,0.1
2629.464,2.417950989186203e-07,2.359865853995197e-07,0.1
2629.947,2.4116554654e-07,2.353862995579708e-07,0.1
2630.429,2.405389154979454e-07,2.3478876566039347e-07,0.1
2630.911,2.399138964860659e-07,2.341927354663237e-07,0.1
2631.393,2.392904853098013e-07,2.335982051398249e-07,0.1
2631.875,2.3866867778588005e-07,2.3300517085498846e-07,0.1
2632.357,2.3804846974217945e-07,2.3241362879603098e-07,0.1
2632.839,2.374298570177892e-07,2.3182357515717701e-07,0.1
2633.321,2.368128354628988e-07,2.3123500614271413e-07,0.1
2633.803,2.3619740093885963e-07,2.306479179668725e-07,0.1
2634.286,2.3558227740955483e-07,2.300610934258515e-07,0.1
2634.768,2.349700078466813e-07,2.294769586625896e-07,0.1
2635.25,2.3435931295647843e-07,2.288942934325901e-07,0.1
2635.732,2.337501886444591e-07,2.2831309398983318e-07,0.1
2636.214,2.3314263082699267e-07,2.277333565981151e-07,0.1
2636.696,2.3253663543151002e-07,2.2715507753109258e-07,0.1
2637.178,2.319321983962425e-07,2.26578253072202e-07,0.1
2637.66,2.313293156703195e-07,2.260028795146573e-07,0.1
2638.143,2.307267372446879e-07,2.254277639446428e-07,0.1
2638.625,2.301269542319453e-07,2.248552840994154e-07,0.1
2639.107,2.295287134325032e-07,2.2428424408590437e-07,0.1
2639.589,2.2893201083865546e-07,2.23714640236197e-07,0.1
2640.071,2.2833684245342687e-07,2.2314646889197946e-07,0.1
2640.553,2.277432042905354e-07,2.2257972640457323e-07,0.1
2641.035,2.2715109237434895e-07,2.220144091348493e-07,0.1
2641.517,2.265605027398574e-07,2.2145051345327859e-07,0.1
2642.0,2.259702108685501e-07,2.2088687024510417e-07,0.1
2642.481,2.253838745088377e-07,2.2032697238406667e-07,0.1
2642.964,2.247966137384935e-07,2.197661601439098e-07,0.1
2643.446,2.2421207691364026e-07,2.1920791762549985e-07,0.1
2643.928,2.236290426956621e-07,2.186510786826094e-07,0.1
2644.41,2.230475071827226e-07,2.180956397425007e-07,0.1
2644.892,2.224674664833826e-07,2.1754159724186605e-07,0.1
2645.374,2.218889167165883e-07,2.1698894762670613e-07,0.1
2645.856,2.213118540116854e-07,2.16437687352375e-07,0.1
2646.338,2.2073627450832505e-07,2.158878128835249e-07,0.1
2646.821,2.201609848124293e-07,2.1533818417792213e-07,0.1
2647.303,2.1958836322953202e-07,2.1479107360791505e-07,0.1
2647.785,2.1901721332091578e-07,2.1424533828562402e-07,0.1
2648.267,2.184475312673075e-07,2.1370097471266539e-07,0.1
2648.749,2.1787931325963705e-07,2.131579793998499e-07,0.1
2649.231,2.1731255549897762e-07,2.126163488670859e-07,0.1
2649.713,2.1674725419650637e-07,2.1207607964348134e-07,0.1
2650.195,2.1618340557360395e-07,2.115371682671753e-07,0.1
2650.677,2.1562100586161974e-07,2.1099961128543297e-07,0.1
2651.16,2.150588889954968e-07,2.1046229419582386e-07,0.1
2651.642,2.1449937882633066e-07,2.099274384732254e-07,0.1
2652.124,2.1394130631473346e-07,2.093939268339982e-07,0.1
2652.606,2.133846677321745e-07,2.0886175586147157e-07,0.1
2653.088,2.1282945936001354e-07,2.0833092214792557e-07,0.1
2653.57,2.1227567748957317e-07,2.078014222945314e-07,0.1
2654.052,2.117233184220435e-07,2.072732529114e-07,0.1
2654.534,2.111723784684595e-07,2.067464106174754e-07,0.1
2655.017,2.106217153261438e-07,2.062198031267838e-07,0.1
2655.499,2.100736054980523e-07,2.056956076394663e-07,0.1
2655.981,2.0952690376833693e-07,2.051727291443584e-07,0.1
2656.463,2.089816064872085e-07,2.046511642957353e-07,0.1
2656.945,2.084377100146091e-07,2.041309097566216e-07,0.1
2657.427,2.078952107201618e-07,2.036119621987555e-07,0.1
2657.909,2.0735410498317658e-07,2.0309431830260085e-07,0.1
2658.391,2.06814389192587e-07,2.025779747573086e-07,0.1
2658.874,2.0627494431950106e-07,2.020618610454758e-07,0.1
2659.356,2.057380004920021e-07,2.0154811098469118e-07,0.1
2659.838,2.0520243582790163e-07,2.010356513872901e-07,0.1
2660.32,2.0466824675441e-07,2.0052447897693245e-07,0.1
2660.802,2.041354297083199e-07,2.0001459048587269e-07,0.1
2661.284,2.036039811358633e-07,1.995059826548973e-07,0.1
2661.766,2.030738974927205e-07,1.9899865223329085e-07,0.1
2662.248,2.0254517524404437e-07,1.9849259597887886e-07,0.1
2662.73,2.020178108643702e-07,1.979878106579547e-07,0.1
2663.213,2.014907109358697e-07,1.9748324971841838e-07,0.1
2663.695,2.0096605455415845e-07,1.969809992171409e-07,0.1
2664.177,2.00442745513951e-07,1.964800099921447e-07,0.1
2664.659,1.9992078032712315e-07,1.959802788433979e-07,0.1
2665.141,1.9940015551484357e-07,1.9548180257923477e-07,0.1
2665.623,1.9888086760754999e-07,1.9498457801631666e-07,0.1
2666.105,1.9836291314485906e-07,1.9448860197962314e-07,0.1
2666.587,1.9784628867563937e-07,1.9399387130243146e-07,0.1
2667.07,1.9732992305163642e-07,1.934993602803343e-07,0.1
2667.552,1.96815950994015e-07,1.93007113422367e-07,0.1
2668.034,1.963032986241969e-07,1.92516102466726e-07,0.1
2668.516,1.957919625275909e-07,1.920263242796581e-07,0.1
2668.998,1.952819392986352e-07,1.915377757355415e-07,0.1
2669.48,1.9477322554085099e-07,1.9105045371697618e-07,0.1
2669.962,1.9426581786676725e-07,1.9056435511464409e-07,0.1
2670.444,1.9375971289789388e-07,1.90079476827377e-07,0.1
