angle_deg,parameter_i,parameter_j,local_correlation
10.0,thickness_um,thickness_um,0.9999999999999999
10.0,thickness_um,substrate_index,-0.11327209418811118
10.0,thickness_um,log10_carrier_cm3,0.7695993285493418
10.0,thickness_um,log10_collision_s-1,0.147009495131885
10.0,substrate_index,thickness_um,-0.11327209418810925
10.0,substrate_index,substrate_index,1.0
10.0,substrate_index,log10_carrier_cm3,-0.33337301022009586
10.0,substrate_index,log10_collision_s-1,0.6927281226935451
10.0,log10_carrier_cm3,thickness_um,0.7695993285493405
10.0,log10_carrier_cm3,substrate_index,-0.3333730102200981
10.0,log10_carrier_cm3,log10_carrier_cm3,1.0000000000000002
10.0,log10_carrier_cm3,log10_collision_s-1,-0.07866546104472996
10.0,log10_collision_s-1,thickness_um,0.1470094951318888
10.0,log10_collision_s-1,substrate_index,0.6927281226935446
10.0,log10_collision_s-1,log10_carrier_cm3,-0.07866546104472508
10.0,log10_collision_s-1,log10_collision_s-1,1.0
15.0,thickness_um,thickness_um,1.0
15.0,thickness_um,substrate_index,-0.009595257680636843
15.0,thickness_um,log10_carrier_cm3,-0.0423684403909762
15.0,thickness_um,log10_collision_s-1,0.10057217066732872
15.0,substrate_index,thickness_um,-0.00959525768063684
15.0,substrate_index,substrate_index,1.0
15.0,substrate_index,log10_carrier_cm3,-0.9986495241660702
15.0,substrate_index,log10_collision_s-1,0.9939189475785537
15.0,log10_carrier_cm3,thickness_um,-0.042368440390976495
15.0,log10_carrier_cm3,substrate_index,-0.9986495241660396
15.0,log10_carrier_cm3,log10_carrier_cm3,1.0
15.0,log10_carrier_cm3,log10_collision_s-1,-0.9982974588937304
15.0,log10_collision_s-1,thickness_um,0.10057217066732867
15.0,log10_collision_s-1,substrate_index,0.9939189475785561
15.0,log10_collision_s-1,log10_carrier_cm3,-0.9982974588937634
15.0,log10_collision_s-1,log10_collision_s-1,1.0
