angle_deg,seed_id,d_init_um,n3_init,log10N_init,log10Gamma_init,d_final_um,n3_final,log10N_final,log10Gamma_final,rmse_percentage_point,success,boundary_hits
10.0,1,2.7,3.0,14.0,12.0,2.5148223745149605,3.9072929803292507,19.999999999999996,14.999999999999998,3.2888687737781983,True,log10_carrier_cm3;log10_collision_s-1
10.0,2,2.9,3.5,16.0,13.698970004336019,3.2242631934061703,3.5666849762133643,12.000000000000002,14.999999999999998,1.8997958614626724,True,log10_carrier_cm3;log10_collision_s-1
10.0,3,3.05,4.0,18.0,13.0,3.2479974043380424,3.5542048305369636,18.239836434095807,11.000000000000002,1.8738296801551595,True,log10_collision_s-1
10.0,4,3.2,3.5,16.0,14.0,3.2479974098104325,3.554204819743183,18.23983667580387,11.000000000000002,1.873829680154705,True,log10_collision_s-1
10.0,5,3.4,3.0,18.0,14.5,3.24799741694278,3.554204805828331,18.239836987269733,11.000000000000002,1.8738296801541672,True,log10_collision_s-1
10.0,6,3.6,4.5,20.0,15.0,3.2242631912724393,3.5666849747655465,12.000000000000002,14.999999999999998,1.8997958614626755,True,log10_carrier_cm3;log10_collision_s-1
15.0,1,2.7,3.0,14.0,12.0,3.187519634116536,3.6509251610102584,12.000000000000002,14.999999999999998,3.355382352363839,True,log10_carrier_cm3;log10_collision_s-1
15.0,2,2.9,3.5,16.0,13.698970004336019,3.187519849026213,3.6509251865756776,12.000000000000002,14.999999999999998,3.355382352363957,True,log10_carrier_cm3;log10_collision_s-1
15.0,3,3.05,4.0,18.0,13.0,3.1875197995087388,3.65092518097248,12.000000000000002,14.999999999999998,3.3553823523632205,True,log10_carrier_cm3;log10_collision_s-1
15.0,4,3.2,3.5,16.0,14.0,3.1875196908991166,3.650925148102336,12.000000000000002,11.000000000000002,3.3553823899854085,True,log10_carrier_cm3;log10_collision_s-1
15.0,5,3.4,3.0,18.0,14.5,3.187519666398612,3.6509251646679437,12.000000000000002,14.999999999999998,3.3553823523633466,True,log10_carrier_cm3;log10_collision_s-1
15.0,6,3.6,4.5,20.0,15.0,3.353875718795134,4.9999999999999964,19.999999999999996,14.999999999999998,5.066709886477227,True,substrate_index;log10_carrier_cm3;log10_collision_s-1
