wavenumber_cm-1,angle_deg,measured_reflectance_percent,double_reflectance_percent,airy_reflectance_percent,selected_model,selected_residual_percentage_point
1500.347,10.0,39.19804386770058,30.86342519805828,30.758256552789405,double,-8.334618669642296
1500.829,10.0,39.18371332712549,30.88744285638354,30.77810827767066,double,-8.296270470741952
1501.311,10.0,39.17336305945798,30.91110367677449,30.797647764533686,double,-8.262259382683485
1501.793,10.0,39.166655130486355,30.93440694782881,30.816874892221925,double,-8.232248182657548
1502.276,10.0,39.16325160599892,30.957399210796343,30.835828467683378,double,-8.205852395202578
1502.758,10.0,39.162814551783995,30.97998459049941,30.85442990873353,double,-8.182829961284583
1503.24,10.0,39.16500603362988,31.002210415586482,30.872718692441374,double,-8.162795618043395
1503.722,10.0,39.16948811732489,31.024076061532348,30.89069474110444,double,-8.145412055792539
1504.204,10.0,39.175922868657324,31.04558092551756,30.90835798771717,double,-8.130341943139763
1504.686,10.0,39.1839723534155,31.066724426425264,30.92570837590854,double,-8.117247926990235
1505.168,10.0,39.19329863738772,31.087506004836886,30.9427458598806,double,-8.105792632550834
1505.65,10.0,39.2035637863623,31.10792512302619,30.959470404348146,double,-8.095638663336107
1506.133,10.0,39.214429866127546,31.12802249754616,30.97591570806344,double,-8.086407368581389
1506.615,10.0,39.225558942471764,31.147714414258882,30.992013660079408,double,-8.077844528212886
1507.097,10.0,39.23661308118327,31.16704238669191,31.007798629224016,double,-8.069570694491363
1507.579,10.0,39.247254348048955,31.186005963852647,31.023270621699666,double,-8.061248384196308
1508.061,10.0,39.254643088703226,31.20460471639416,31.03842965393379,double,-8.050038372309059
1508.543,10.0,39.26024234986512,31.222838236602552,31.053275752524666,double,-8.03740411326257
1509.025,10.0,39.26307620031005,31.240706138382734,31.067808954187704,double,-8.022370061927319
1509.507,10.0,39.26618010348732,31.25820805724309,31.082029305702896,double,-8.007972046244237
1509.99,10.0,39.26752851135566,31.275378820281,31.095965392615305,double,-7.992149691074663
1510.471,10.0,39.26738102240026,31.29211259615593,31.10953169542423,double,-7.975268426244325
1510.954,10.0,39.264205855190234,31.308548242495437,31.12284110850723,double,-7.955657612694794
1511.436,10.0,39.259428546106406,31.324582254078326,31.135810078363097,double,-7.93484629202808
1511.918,10.0,39.25122124656043,31.340248783208747,31.1484665813787,double,-7.91097246335169
1512.4,10.0,39.24173215770615,31.355547594673883,31.1608107236926,double,-7.886184563032267
1512.882,10.0,39.23028802961333,31.370478474724422,31.172842621167057,double,-7.859809554888902
1513.364,10.0,39.21768104802773,31.38504123105002,31.184562399343257,double,-7.8326398169777045
1513.846,10.0,39.20256014930995,31.399235692753326,31.19597019339752,double,-7.8033244565566315
1514.328,10.0,39.189322876665614,31.41306171032314,31.207066148098328,double,-7.776261166342469
1514.811,10.0,39.17481170601539,31.42654669240974,31.217872467884312,double,-7.748265013605648
1515.293,10.0,39.16399164323957,31.43963469359085,31.228344570210815,double,-7.72435694964872
1515.775,10.0,39.154443685999205,31.452353929979214,31.23850532499689,double,-7.702089756019992
1516.257,10.0,39.14432303865165,31.464704337359517,31.248354914989168,double,-7.679618701292135
1516.739,10.0,39.13469253274003,31.476685872750522,31.257893532325976,double,-7.658006659989514
1517.221,10.0,39.12525087015028,31.488298514371316,31.26712137850024,double,-7.63695235577897
1517.703,10.0,39.115212646540215,31.499542261606244,31.276038664322957,double,-7.615670384933971
1518.185,10.0,39.10653242934232,31.51041713496906,31.284645609887995,double,-7.596115294373263
1518.667,10.0,39.0983997405386,31.52092317606563,31.292942444537474,double,-7.577476564472974
1519.15,10.0,39.089565021885555,31.531081095958978,31.300945655348432,double,-7.5584839259265735
1519.632,10.0,39.08038967701346,31.540848916709912,31.30862235090859,double,-7.539540760303548
1520.114,10.0,39.07234984690527,31.55024815641595,31.315989679280694,double,-7.522101690489319
1520.596,10.0,39.06168042341554,31.55927894070134,31.323047906492395,double,-7.502401482714194
1521.078,10.0,39.05286166817739,31.567941416080135,31.32979730766081,double,-7.484920252097255
1521.56,10.0,39.04334219973974,31.576235749912307,31.336238166963536,double,-7.4671064498274315
1522.042,10.0,39.03412832030804,31.58416213035905,31.342370777610373,double,-7.449966189948992
