wavenumber_cm-1,angle_deg,third_beam_ratio_percent
2500.257,10.0,1.0320426153228776e-07
2500.739,10.0,1.0303510339727546e-07
2501.221,10.0,1.0286625989795909e-07
2501.703,10.0,1.0269773037832227e-07
2502.186,10.0,1.0252916551288265e-07
2502.668,10.0,1.0236126263871191e-07
2503.15,10.0,1.0219367178397167e-07
2503.632,10.0,1.020263922987009e-07
2504.114,10.0,1.0185942353446424e-07
2504.596,10.0,1.0169276484430996e-07
2505.078,10.0,1.0152641558277974e-07
2505.56,10.0,1.0136037510592245e-07
2506.042,10.0,1.0119464277124479e-07
2506.525,10.0,1.0102887505191593e-07
2507.007,10.0,1.0086375771610536e-07
2507.489,10.0,1.0069894660260483e-07
2507.971,10.0,1.0053444107487713e-07
2508.453,10.0,1.0037024049781565e-07
2508.935,10.0,1.0020634423778979e-07
2509.417,10.0,1.0004275166263231e-07
2509.899,10.0,9.987946214164311e-08
2510.382,10.0,9.971613721198922e-08
2510.864,10.0,9.955345253847608e-08
2511.346,10.0,9.93910690344045e-08
2511.828,10.0,9.92289860748413e-08
2512.31,10.0,9.906720303633658e-08
2512.792,10.0,9.890571929682859e-08
2513.274,10.0,9.874453423570953e-08
2513.756,10.0,9.85836472337937e-08
2514.239,10.0,9.842272480873357e-08
2514.721,10.0,9.826243268856296e-08
2515.203,10.0,9.81024367773043e-08
2515.685,10.0,9.794273646146902e-08
2516.167,10.0,9.77833311289513e-08
2516.649,10.0,9.762422016906107e-08
2517.131,10.0,9.746540297251979e-08
2517.613,10.0,9.730687893143506e-08
2518.095,10.0,9.714864743932773e-08
2518.578,10.0,9.699038051873655e-08
2519.06,10.0,9.683273291447618e-08
2519.542,10.0,9.667537604680995e-08
2520.024,10.0,9.651830931479598e-08
2520.506,10.0,9.636153211887353e-08
2520.988,10.0,9.620504386085654e-08
2521.47,10.0,9.604884394392722e-08
2521.952,10.0,9.589293177264369e-08
2522.435,10.0,9.573698417750952e-08
2522.917,10.0,9.558164631053074e-08
2523.399,10.0,9.542659440979588e-08
2523.881,10.0,9.527182788530059e-08
2524.363,10.0,9.511734614838097e-08
2524.845,10.0,9.496314861173455e-08
2525.327,10.0,9.48092346893996e-08
2525.809,10.0,9.465560379674084e-08
2526.292,10.0,9.450193749336754e-08
2526.773,10.0,9.434918876863285e-08
2527.256,10.0,9.419608678066346e-08
2527.738,10.0,9.404358276892842e-08
2528.22,10.0,9.38913588825373e-08
2528.702,10.0,9.373941454483676e-08
2529.184,10.0,9.35877491804906e-08
2529.666,10.0,9.343636221548383e-08
2530.148,10.0,9.328525307710146e-08
2530.63,10.0,9.313442119394841e-08
2531.113,10.0,9.298355392795359e-08
2531.595,10.0,9.283327541852043e-08
2532.077,10.0,9.268327245672894e-08
2532.559,10.0,9.253354447638382e-08
2533.041,10.0,9.238409091257842e-08
2533.523,10.0,9.22349112016751e-08
2534.005,10.0,9.208600478133569e-08
2534.487,10.0,9.193737109050603e-08
2534.969,10.0,9.1789009569398e-08
2535.452,10.0,9.164061270097766e-08
2535.934,10.0,9.149279440683472e-08
2536.416,10.0,9.134524660954383e-08
2536.898,10.0,9.11979687544149e-08
2537.38,10.0,9.105096028800617e-08
2537.862,10.0,9.090422065813914e-08
2538.344,10.0,9.075774931388881e-08
2538.826,10.0,9.061154570557092e-08
2539.309,10.0,9.046530678948871e-08
2539.791,10.0,9.031963756167097e-08
2540.273,10.0,9.017423442714257e-08
2540.755,10.0,9.002909684120211e-08
2541.237,10.0,8.988422426039808e-08
2541.719,10.0,8.973961614251536e-08
2542.201,10.0,8.959527194656623e-08
2542.683,10.0,8.945119113278447e-08
2543.166,10.0,8.930707505796117e-08
2543.648,10.0,8.91635199377853e-08
2544.13,10.0,8.902022658672045e-08
2544.612,10.0,8.88771944698894e-08
2545.094,10.0,8.873442305362465e-08
2545.576,10.0,8.859191180547715e-08
2546.058,10.0,8.844966019418795e-08
2546.54,10.0,8.830766768972143e-08
2547.022,10.0,8.816593376321723e-08
2547.505,10.0,8.80241646364986e-08
2547.987,10.0,8.78829468179252e-08
2548.469,10.0,8.774198599686757e-08
2548.951,10.0,8.76012816492488e-08
2549.433,10.0,8.746083325218926e-08
2549.915,10.0,8.732064028398574e-08
2550.397,10.0,8.718070222411435e-08
2550.879,10.0,8.704101855322078e-08
2551.362,10.0,8.69012997432341e-08
2551.844,10.0,8.676212382204726e-08
2552.326,10.0,8.662320073776515e-08
2552.808,10.0,8.648452997571427e-08
2553.29,10.0,8.634611102239416e-08
2553.772,10.0,8.620794336545773e-08
2554.254,10.0,8.60700264937121e-08
2554.736,10.0,8.593235989712773e-08
2555.219,10.0,8.579465822892765e-08
2555.7,10.0,8.565777549502533e-08
2556.183,10.0,8.552057286946415e-08
2556.665,10.0,8.538390281062005e-08
2557.147,10.0,8.52474804929083e-08
2557.629,10.0,8.511130541315404e-08
2558.111,10.0,8.497537706932432e-08
2558.593,10.0,8.48396949605001e-08
2559.075,10.0,8.470425858691397e-08
2559.557,10.0,8.456906744990754e-08
2560.04,10.0,8.4433841334218e-08
2560.522,10.0,8.429913968509397e-08
2561.004,10.0,8.416468178227537e-08
2561.486,10.0,8.403046713158342e-08
2561.968,10.0,8.389649523996158e-08
2562.45,10.0,8.376276561542783e-08
2562.932,10.0,8.36292777671481e-08
2563.414,10.0,8.349603120536018e-08
2563.896,10.0,8.336302544141804e-08
2564.379,10.0,8.32299847902264e-08
2564.861,10.0,8.309745965746957e-08
