wavenumber_cm-1,angle_deg,third_beam_ratio_percent
2500.257,10.0,4.850598863972146e-07
2500.739,10.0,4.838019292732213e-07
2501.221,10.0,4.825472484326097e-07
2501.703,10.0,4.812958351414059e-07
2502.186,10.0,4.800450945393784e-07
2502.668,10.0,4.788001969759558e-07
2503.15,10.0,4.775585408869838e-07
2503.632,10.0,4.7632011763486e-07
2504.114,10.0,4.750849186059316e-07
2504.596,10.0,4.738529352102791e-07
2505.078,10.0,4.7262415888184044e-07
2505.56,10.0,4.713985810782087e-07
2506.042,10.0,4.70176193280539e-07
2506.525,10.0,4.6895446082131333e-07
2507.007,10.0,4.6773843414769074e-07
2507.489,10.0,4.665255720472747e-07
2507.971,10.0,4.6531586609511844e-07
2508.453,10.0,4.6410930788957737e-07
2508.935,10.0,4.6290588905222823e-07
2509.417,10.0,4.617056012277781e-07
2509.899,10.0,4.6050843608404153e-07
2510.382,10.0,4.593119112597059e-07
2510.864,10.0,4.5812097300837696e-07
2511.346,10.0,4.569331325618799e-07
2511.828,10.0,4.557483816797232e-07
2512.31,10.0,4.545667121441455e-07
2512.792,10.0,4.5338811576014113e-07
2513.274,10.0,4.522125843552167e-07
2513.756,10.0,4.5104010977953063e-07
2514.239,10.0,4.498682608744182e-07
2514.721,10.0,4.4870188189732916e-07
2515.203,10.0,4.475385354177522e-07
2515.685,10.0,4.4637821337537777e-07
2516.167,10.0,4.4522090773219086e-07
2516.649,10.0,4.4406661047230246e-07
2517.131,10.0,4.429153136019319e-07
2517.613,10.0,4.4176700914935115e-07
2518.095,10.0,4.4062168916475937e-07
2518.578,10.0,4.3947697880181093e-07
2519.06,10.0,4.383376101423124e-07
2519.542,10.0,4.3720120221635995e-07
2520.024,10.0,4.360677471615335e-07
2520.506,10.0,4.34937237136984e-07
2520.988,10.0,4.338096643235349e-07
2521.47,10.0,4.326850209235018e-07
2521.952,10.0,4.315632991606578e-07
2522.435,10.0,4.3044217312565864e-07
2522.917,10.0,4.29326277415506e-07
2523.399,10.0,4.282132801261449e-07
2523.881,10.0,4.271031735667215e-07
2524.363,10.0,4.2599595006746925e-07
2524.845,10.0,4.248916019797664e-07
2525.327,10.0,4.237901216760089e-07
2525.809,10.0,4.2269150154961133e-07
2526.292,10.0,4.21593463598247e-07
2526.773,10.0,4.2050281150698767e-07
2527.256,10.0,4.1941046783903894e-07
2527.738,10.0,4.1832321863696563e-07
2528.22,10.0,4.172387918762418e-07
2528.702,10.0,4.1615718007495747e-07
2529.184,10.0,4.1507837577172766e-07
2529.666,10.0,4.14002371525662e-07
2530.148,10.0,4.1292915991632395e-07
2530.63,10.0,4.118587335436774e-07
2531.113,10.0,4.107888728720624e-07
2531.595,10.0,4.0972400059414025e-07
2532.077,10.0,4.0866189145930143e-07
2532.559,10.0,4.076025381484603e-07
2533.041,10.0,4.065459333626482e-07
2533.523,10.0,4.0549206982294947e-07
2534.005,10.0,4.0444094027043137e-07
2534.487,10.0,4.033925374660532e-07
2534.969,10.0,4.023468541906468e-07
2535.452,10.0,4.0130172221921454e-07
2535.934,10.0,4.0026146202834206e-07
2536.416,10.0,3.9922389981276094e-07
2536.898,10.0,3.981890284321881e-07
2537.38,10.0,3.9715684076600346e-07
2537.862,10.0,3.9612732971306446e-07
2538.344,10.0,3.9510048819171586e-07
2538.826,10.0,3.9407630913967817e-07
2539.309,10.0,3.9305266892589053e-07
2539.791,10.0,3.920337991904492e-07
2540.273,10.0,3.910175708389616e-07
2540.755,10.0,3.9000397688635745e-07
2541.237,10.0,3.889930103665967e-07
2541.719,10.0,3.8798466433280617e-07
2542.201,10.0,3.869789318570922e-07
2542.683,10.0,3.859758060305238e-07
2543.166,10.0,3.849732068806143e-07
2543.648,10.0,3.8397527907358715e-07
2544.13,10.0,3.829799372881024e-07
2544.612,10.0,3.819871746906283e-07
2545.094,10.0,3.809969844663213e-07
2545.576,10.0,3.800093598190152e-07
2546.058,10.0,3.790242939711033e-07
2546.54,10.0,3.7804178016356425e-07
2547.022,10.0,3.7706181165584874e-07
2547.505,10.0,3.7608235649706634e-07
2547.987,10.0,3.751074636868492e-07
2548.469,10.0,3.74135096051357e-07
2548.951,10.0,3.731652469234066e-07
2549.433,10.0,3.721979096541915e-07
2549.915,10.0,3.71233077613e-07
2550.397,10.0,3.7027074418726156e-07
2550.879,10.0,3.69310902782438e-07
2551.362,10.0,3.683515631854332e-07
2551.844,10.0,3.6739669124707145e-07
2552.326,10.0,3.6644429164050063e-07
2552.808,10.0,3.6549435784293146e-07
2553.29,10.0,3.645468833495174e-07
2553.772,10.0,3.6360186167310805e-07
2554.254,10.0,3.6265928634429083e-07
2554.736,10.0,3.61719150911257e-07
2555.219,10.0,3.607795060252696e-07
2555.7,10.0,3.59846174013607e-07
2556.183,10.0,3.589113868627987e-07
2556.665,10.0,3.5798095184903363e-07
2557.147,10.0,3.5705292472221253e-07
2557.629,10.0,3.561272991355087e-07
2558.111,10.0,3.5520406875941103e-07
2558.593,10.0,3.542832272816603e-07
2559.075,10.0,3.533647684072205e-07
2559.557,10.0,3.52448685858204e-07
2560.04,10.0,3.515330801641445e-07
2560.522,10.0,3.5062173639850173e-07
2561.004,10.0,3.4971275021422855e-07
2561.486,10.0,3.4880611540168097e-07
2561.968,10.0,3.479018257680746e-07
2562.45,10.0,3.4699987513752273e-07
2562.932,10.0,3.461002573509791e-07
2563.414,10.0,3.4520296626615306e-07
2563.896,10.0,3.443079957574413e-07
2564.379,10.0,3.434134901341881e-07
2564.861,10.0,3.4252314725061683e-07
2565.343,10.0,3.4163510665380977e-07
2565.825,10.0,3.4074936228468507e-07
2566.307,10.0,3.3986590810061223e-07
2566.789,10.0,3.389847380754796e-07
2567.271,10.0,3.381058461994897e-07
2567.753,10.0,3.3722922647926655e-07
2568.236,10.0,3.36353061277723e-07
2568.718,10.0,3.354809726370007e-07
2569.2,10.0,3.346111382571287e-07
2569.682,10.0,3.3374355220966606e-07
2570.164,10.0,3.328782085822952e-07
2570.646,10.0,3.3201510147878987e-07
2571.128,10.0,3.3115422501894153e-07
2571.61,10.0,3.302955733384673e-07
2572.093,10.0,3.2943736606023785e-07
2572.575,10.0,3.2858315099503283e-07
2573.057,10.0,3.2773114319995515e-07
2573.539,10.0,3.2688133687426913e-07
2574.021,10.0,3.26033726233005e-07
2574.503,10.0,3.251883055068914e-07
2574.985,10.0,3.2434506894239077e-07
2575.467,10.0,3.235040108014969e-07
2575.949,10.0,3.226651253618653e-07
2576.432,10.0,3.2182667323487357e-07
2576.914,10.0,3.2099212057080394e-07
2577.396,10.0,3.201597235220896e-07
2577.878,10.0,3.1932947642829855e-07
2578.36,10.0,3.1850137364426576e-07
2578.842,10.0,3.176754095402303e-07
2579.324,10.0,3.168515785016622e-07
2579.806,10.0,3.160298749292441e-07
2580.289,10.0,3.152085950637288e-07
2580.771,10.0,3.143911340713604e-07
2581.253,10.0,3.1357578382666126e-07
2581.735,10.0,3.127625387908766e-07
2582.217,10.0,3.119513934402813e-07
2582.699,10.0,3.111423422660293e-07
2583.181,10.0,3.1033537977426184e-07
2583.663,10.0,3.0953050048601036e-07
2584.146,10.0,3.0872603552978274e-07
2584.627,10.0,3.0792696967835507e-07
2585.11,10.0,3.0712665244381403e-07
2585.592,10.0,3.063300557473681e-07
2586.074,10.0,3.055355150701786e-07
2586.556,10.0,3.0474302502176936e-07
2587.038,10.0,3.0395258022624383e-07
2587.52,10.0,3.0316417532220056e-07
2588.002,10.0,3.023778049628452e-07
2588.484,10.0,3.015934638157895e-07
2588.967,10.0,3.008095255984092e-07
2589.449,10.0,3.000292311189935e-07
2589.931,10.0,2.9925094993022914e-07
2590.413,10.0,2.984746767572596e-07
2590.895,10.0,2.977004063395268e-07
2591.377,10.0,2.969281334306184e-07
2591.859,10.0,2.961578527983961e-07
2592.341,10.0,2.953895592248119e-07
2592.823,10.0,2.946232475059675e-07
2593.306,10.0,2.938573287457527e-07
2593.788,10.0,2.930949692656934e-07
2594.27,10.0,2.923345761021602e-07
2594.752,10.0,2.9157614410728324e-07
2595.234,10.0,2.908196681471564e-07
2595.716,10.0,2.900651431016623e-07
2596.198,10.0,2.8931256386459323e-07
2596.68,10.0,2.885619253434864e-07
2597.163,10.0,2.8781167114273607e-07
2597.645,10.0,2.8706490283125884e-07
2598.127,10.0,2.863200600302878e-07
2598.609,10.0,2.855771377022165e-07
2599.091,10.0,2.8483613082297874e-07
2599.573,10.0,2.8409703438210074e-07
2600.055,10.0,2.8335984338262874e-07
2600.537,10.0,2.826245528411089e-07
2601.02,10.0,2.8188963818792914e-07
2601.502,10.0,2.8115813758274716e-07
2601.984,10.0,2.8042852255540116e-07
2602.466,10.0,2.7970078817599375e-07
2602.948,10.0,2.789749295279446e-07
2603.43,10.0,2.7825094170792745e-07
