result_id,question_id,name_zh,value,unit,uncertainty,abstract_text_zh,source_script,source_output,validation,status,used_in_abstract,last_updated
R-Q1-SYNTHETIC,Q1,合成厚度恢复绝对误差,0.0004565,um,seed=2025,合成厚度绝对误差为 0.00046 μm,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,四项物理单元测试与合成恢复,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q2-D,Q2,SiC外延层主厚度,7.384039,um,统计与系统范围分别登记,SiC外延层厚度为 7.3840 μm,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,三种子一致_剖面目标_相位交叉验证,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q2-BOOT,Q2,SiC厚度移动块Bootstrap分位范围,7.374678--7.394278,um,2.5%--97.5% empirical quantiles_n=300_block=24,块Bootstrap的2.5%—97.5%分位范围为 7.3747—7.3943 μm,scripts/run_analysis.py,modules/30_q2/tables/q2_block_bootstrap.csv,固定种子移动块Bootstrap,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q2-SYS,Q2,SiC折射率尺度系统范围,7.238143--7.535947,um,background_index_scale=0.98--1.02,折射率尺度扰动给出 7.2381—7.5359 μm 的系统范围,scripts/run_analysis.py,modules/30_q2/tables/q2_index_scale_sensitivity.csv,折射率尺度敏感性,FROZEN,false,2026-08-05T12:30:00+08:00
R-Q2-RMSE,Q2,SiC联合拟合RMSE,0.119397,reflectance_percentage_point,band=2000--3900 cm-1,联合拟合RMSE为 0.1194 个反射率百分点,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,波段敏感性与残差核验,FROZEN,false,2026-08-05T12:30:00+08:00
R-Q3-SIC-RHO,Q3,SiC最大往返强度保持率,1.954033e-5,1,s_p_two_angles_max,SiC最大往返强度保持率为 1.95×10^-5,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,复往返因子直接计算,FROZEN,false,2026-08-05T12:30:00+08:00
R-Q3-SIC-DELTA,Q3,SiC Airy减双光束厚度修正,0.00008760,um,same_band_same_loss,SiC多光束厚度修正仅为 0.000088 μm,scripts/run_analysis.py,modules/40_q3/tables/q3_sic_order_convergence.csv,Neumann有限阶与Airy极限,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q3-SI-D,Q3,Si外延层Airy厚度,3.395965,um,band_sensitivity=3.394867--3.402969 um,Si外延层厚度为 3.3960 μm,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,三种子一致_波段敏感性_有限阶收敛,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q3-SI-RMSE,Q3,Si Airy拟合RMSE,1.271479,reflectance_percentage_point,band=750--1800 cm-1,Si多光束拟合RMSE为 1.2715 个反射率百分点,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,嵌套模型公平比较,FROZEN,false,2026-08-05T12:30:00+08:00
R-Q3-SI-REDUCTION,Q3,Si多光束相对RMSE降幅,70.4663,percent,relative_to_double_beam_same_band,多光束使RMSE降低 70.47%,scripts/verify_results.py,reports/numerical_verification.json,公式代码单位缩放四联检查,FROZEN,true,2026-08-05T12:30:00+08:00
R-Q3-SI-RHO,Q3,Si最大往返强度保持率,0.1264981,1,s_p_two_angles_max,Si最大往返强度保持率为 0.1265,scripts/run_analysis.py,output/results/analysis_results.json#sha256=f17eaa6c9128c55069e1bb47eeb57d6f1732bd6dd8db50c189d4334017eb581e,复往返因子直接计算,FROZEN,false,2026-08-05T12:30:00+08:00
